path	verdict	pages	first_page	of	ink	dominant	gdelta	only_ours	only_ref	blank_ref	counts
words/batch-014/docx/Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11.docx	match	3/3	1	3	4.52	glyphs	51	96	177	4	box=4,face=1,glyphs=25,colour=1
words/batch-014/docx/SPA-11_mcar_part-11_v2.9.docx	match	49/49	29	49	0.67	glyphs	60	53	61	1	glyphs=7
words/batch-014/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	words	18/18	1	18	0.65	box	22	52	48	1	box=4,glyphs=3
words/batch-014/docx/gpp-pr-top-7-office-markets-4q-2023.docx	match	4/4	2	4	2.30	glyphs	70	121	165	20	glyphs=19
words/batch-014/docx/xx_SETIS_PWS_template_10.19.22.docx	words	15/15	2	15	0.36	glyphs	93	42	70	4	box=1,glyphs=29
words/batch-015/doc/644730BRI0mna000BOX361539B00public0.doc	match	5/5	1	5	0.75	box	0	127	207	82	box=1
words/batch-015/doc/A320SimNotes.doc	pages	40/42	1	40	0.41	one-sided	0	28	32	7	
words/batch-015/doc/info-bulletin-601.doc	pages	5/6	1	5	6.61	glyphs	99	22	32	4	size=1,width=1,face=2,glyphs=11
words/batch-015/docx/1603642410-MoM-CASCOM-06-2020-draft04.docx	match	9/9	5	9	0.40	glyphs	110	147	107	13	size=4,box=5,width=4,face=9,glyphs=29
words/batch-015/docx/1_tpr_template__from_fy14_.docx	pages	9/8	3	8	nan	page size	0	0	0	0	
words/batch-015/docx/B11. TE.CAO.00129  Experience  logbook.docx	pages,words	7/6	1	6	0.83	glyphs	46	18	16	2	box=1,face=1,glyphs=9
words/batch-015/docx/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	match	18/18	6	18	0.51	width	59	15	48	32	width=37,glyphs=27
words/batch-015/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	words	6/6	1	6	0.64	size	50	31	8	0	size=10,glyphs=4
words/batch-015/docx/exhibit-06---technical-architecture-template.docx	match	8/8	4	8	0.62	face	70	307	191	3	size=12,width=9,face=32,glyphs=28
words/batch-015/docx/hdss-bulletin-issue-285-25-june-2025.docx	match	10/10	1	10	0.93	one-sided	0	123	83	9	
words/batch-016/doc/150_5300_13_chg8.doc	pages	20/18	2	18	1.39	glyphs	48	167	254	42	face=2,glyphs=3
words/batch-016/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	match	1/1	1	1	0.36	glyphs	38	49	86	10	face=1,glyphs=5
words/batch-016/doc/PK_FlugzeugeStricken.doc	match	7/7	1	7	2.85	box	0	1	5	4	box=1
words/batch-016/doc/SFSP_2013-02_Bulletin.doc	match	4/4	3	4	0.42	glyphs	72	33	43	5	face=2,glyphs=9
words/batch-016/doc/absrc-pac-01-info-note-en.doc	pages	6/7	1	6	1.43	one-sided	0	113	116	2	
words/batch-016/docx/231164_SystemDesignDocument.docx	match	28/28		28	0.00		0	0	0	0	
words/batch-016/docx/AFS-050-004-F2_0i.docx	match	8/8	1	8	0.86	glyphs	95	82	11	4	glyphs=49
words/batch-016/docx/JEMIT_Template.docx	match	4/4	1	4	0.82	glyphs	71	105	77	31	glyphs=22
words/batch-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	words	15/15	2	15	0.56	glyphs	109	25	22	9	size=1,glyphs=7
words/batch-016/docx/fleetfastfacts16nov2023.docx	match	1/1	1	1	0.39	one-sided	0	116	120	10	
words/batch-017/doc/2013_11.doc	match	8/8	1	8	0.94	one-sided	0	81	90	4	
words/batch-017/doc/762.doc	pages	22/23	1	22	2.85	one-sided	0	0	10	4	
words/batch-017/docx/03_Technical_Report_(progress)_template.docx	match	10/10	1	10	4.99	glyphs	89	50	11	5	glyphs=24
words/batch-017/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	pages,words	12/15	2	12	0.73	box	12	117	191	4	box=37,glyphs=13
words/batch-017/docx/Agile_Arc_SysDes.docx	match	20/20	1	20	1.51	one-sided	0	19	14	2	
words/batch-017/docx/May 25 bulletin focus on carers in the workplace.docx	pages,words	5/4	1	4	2.82	glyphs	32	8	15	2	box=1,glyphs=2
words/batch-017/docx/PI-doc.-no.-2E-Technical-Review-Report.docx	match	12/12	2	12	0.81	glyphs	56	91	100	13	glyphs=2
words/batch-017/docx/Sample_SQMS_Program.docx	match	61/61	3	61	0.88	glyphs	52	106	28	0	size=3,width=3,face=3,glyphs=5
words/batch-017/docx/UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders.docx	pages,words	30/29	1	29	0.68	box	5	51	48	1	box=4,glyphs=2
words/batch-017/docx/system_design__technical_architecture_template.docx	match	17/17	12	17	0.35	box	26	68	166	1	size=1,box=15,width=1,glyphs=11,colour=15
words/batch-018/doc/120509coss.doc	match	25/25	18	25	0.37	glyphs	87	13	27	8	size=2,width=2,face=2,glyphs=23
words/batch-018/doc/A_320.doc	pages	141/150	3	141	2.69	one-sided	0	97	1	0	
words/batch-018/docx/Allegiant_Company_Profile_with_History.docx	match	3/3		3	0.00		0	0	0	0	
words/batch-018/docx/DOA_Template_Form_Type_Certification_Programme.docx	pages	21/20	1	20	1.73	box	20	93	96	13	box=4,glyphs=1
words/batch-018/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	pages	34/35	6	34	0.51	glyphs	77	32	71	16	box=2,width=6,glyphs=11
words/batch-018/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	pages	77/76	14	76	0.91	glyphs	94	117	7	1	glyphs=16
words/batch-018/docx/HC-Bulletin-template.docx	match	5/5	1	5	6.40	one-sided	0	165	146	1	
words/batch-018/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	match	85/85	12	85	0.70	glyphs	94	87	5	0	glyphs=10
words/batch-018/docx/airbus-pdf-information-package_v1-4.docx	match	9/9	1	9	2.42	one-sided	0	10	7	0	
words/batch-018/docx/t_TEMPforInvProgs.docx	match	26/26	8	26	0.82	glyphs	74	80	5	1	glyphs=30
words/batch-019/doc/150_5335_5a.doc	match	63/63	4	63	0.41	face	11	237	162	19	face=4,glyphs=4
words/batch-019/docx/02_mcar_part-2_and_IS_v2.10.docx	pages	315/312	3	312	0.37	glyphs	1	4	9	1	size=3,box=5,glyphs=21
words/batch-019/docx/24-25_FAA_Holdover_Tables.docx	pages	142/141	1	141	3.39	glyphs	82	87	60	4	size=1,width=1,face=1,glyphs=2
words/batch-019/docx/33004.docx	pages	48/47	1	47	6.02	glyphs	2	3	13	1	glyphs=2
words/batch-019/docx/CRIF - Sp̩cification technique - Socle applicatif.docx	pages,words	33/29	2	29	0.57	one-sided	0	25	37	2	
words/batch-019/docx/ESPN-R - MCF - RA - Ed1.docx	match	59/59	3	59	0.35	glyphs	8	26	30	6	box=2,glyphs=11
words/batch-019/docx/PES-Technical-Report-Template_Jan_2019.docx	match	14/14	1	14	8.15	size	153	25	12	0	size=1,width=1,face=1,glyphs=1
words/batch-019/docx/SPA-02_mcar_part-2_and_IS_v2.9.docx	pages	267/266	16	266	0.45	glyphs	44	74	76	8	box=4,glyphs=25
words/batch-019/docx/dragon1-enterprise-architecture-document-example-v0.1d.docx	match	13/13	4	13	0.36	one-sided	0	121	91	1	
words/batch-019/docx/report-template.docx	pages	19/20	4	19	0.59	glyphs	74	23	13	2	box=7,glyphs=16
words/batch-020/doc/150_5300_13_chg10.doc	pages,words	80/76	1	76	2.15	glyphs	16	526	99	16	face=1,glyphs=16
words/batch-020/doc/150_5300_13_chg12.doc	pages	32/33	1	32	0.58	glyphs	56	66	93	17	glyphs=14
words/batch-020/docx/150-5370-10H.docx	words	711/721	1	711	0.51	box	51	118	119	0	box=236,face=4,glyphs=11
words/batch-020/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	pages,words	14/15	1	14	1.73	glyphs	24	86	115	3	glyphs=3
words/batch-020/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	words	12/12	1	12	1.60	glyphs	27	85	115	3	glyphs=2
words/batch-020/docx/AC-150-5370-10G-updated-201604.docx	words	686/697	5	686	2.87	glyphs	65	111	69	0	glyphs=33
words/batch-020/docx/Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA.docx	match	148/148	49	148	0.40	glyphs	18	5	137	4	width=2,glyphs=21
words/batch-020/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	pages	80/82	7	80	3.32	size	0	110	110	0	size=5
words/batch-020/docx/FAA 2025-26 Holdover Tables.docx	match	154/154	1	154	2.90	size	43	73	64	8	size=2,width=2,face=2,glyphs=2
words/batch-020/docx/OM template for non-complex NCC operators_August 2016.docx	pages	164/165	2	164	1.49	glyphs	84	21	48	11	box=1,glyphs=10
words/batch-021/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	words	29/29	1	29	1.70	box	15	91	110	3	box=4,glyphs=3
words/batch-021/docx/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	pages	43/44	2	43	1.85	glyphs	67	79	57	0	size=1,box=2,width=1,face=2,glyphs=55
