# Shortcodes for the emoji and symbol AutoCorrect replacements.
#
# Typing a shortcode between colons - :rocket: - replaces it with the character
# as soon as the closing colon is typed.  The names are the international
# GitHub/Slack shortcodes, so they are the same in every language and this file
# is deliberately NOT translated.  See README.md before editing.
#
# codepoints <TAB> character <TAB> shortcodes, first one canonical <TAB> Unicode name
000A2	¢	cent	CENT SIGN
1F55F	🕟	4.30	CLOCK FACE FOUR-THIRTY
1F560	🕠	5.30	CLOCK FACE FIVE-THIRTY
1F561	🕡	6.30	CLOCK FACE SIX-THIRTY
1F562	🕢	7.30	CLOCK FACE SEVEN-THIRTY
1F563	🕣	8.30	CLOCK FACE EIGHT-THIRTY
1F564	🕤	9.30	CLOCK FACE NINE-THIRTY
1F565	🕥	10.30	CLOCK FACE TEN-THIRTY
1F566	🕦	11.30	CLOCK FACE ELEVEN-THIRTY
1F567	🕧	12.30	CLOCK FACE TWELVE-THIRTY
1F56F	🕯	candle	CANDLE
1F570	🕰	clock	MANTELPIECE CLOCK
1F573	🕳	hole	HOLE
1F574	🕴	suit	MAN IN BUSINESS SUIT LEVITATING
1F575	🕵	detective	SLEUTH OR SPY
1F577	🕷	spider	SPIDER
1F578	🕸	web	SPIDER WEB
1F579	🕹	joystick	JOYSTICK
1F57A	🕺	man_dancing, dancer2	MAN DANCING
1F587	🖇	paperclip2	LINKED PAPERCLIPS
1F58A	🖊	pen	LOWER LEFT BALLPOINT PEN
1F58B	🖋	pen2	LOWER LEFT FOUNTAIN PEN
1F58C	🖌	paintbrush	LOWER LEFT PAINTBRUSH
1F58D	🖍	crayon	LOWER LEFT CRAYON
1F590	🖐	raised_hand_with_fingers_splayed, hand2	RAISED HAND WITH FINGERS SPLAYED
1F595	🖕	middle_finger, fu, finger	REVERSED HAND WITH MIDDLE FINGER EXTENDED
1F596	🖖	spock	RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS
1F5A4	🖤	black_heart, black heart	BLACK HEART
1F5A5	🖥	computer2	DESKTOP COMPUTER
1F5A8	🖨	printer	PRINTER
1F5B1	🖱	mouse3	THREE BUTTON MOUSE
1F5B2	🖲	trackball	TRACKBALL
1F5BC	🖼	picture	FRAME WITH PICTURE
1F5C2	🗂	index	CARD INDEX DIVIDERS
1F5C3	🗃	box	CARD FILE BOX
1F5C4	🗄	cabinet	FILE CABINET
1F5D1	🗑	wastebasket	WASTEBASKET
1F5D2	🗒	notepad	SPIRAL NOTE PAD
1F5D3	🗓	calendar3	SPIRAL CALENDAR PAD
1F5DC	🗜	clamp	COMPRESSION
1F5DD	🗝	key2	OLD KEY
1F5DE	🗞	newspaper2	ROLLED-UP NEWSPAPER
1F5E1	🗡	knife2	DAGGER KNIFE
1F5E3	🗣	speaking_head, head	SPEAKING HEAD IN SILHOUETTE
1F5E8	🗨	bubble	LEFT SPEECH BUBBLE
1F5EF	🗯	bubble4	RIGHT ANGER BUBBLE
1F5F3	🗳	ballot	BALLOT BOX WITH BALLOT
1F5FA	🗺	map	WORLD MAP
1F5FB	🗻	Fuji	MOUNT FUJI
1F5FC	🗼	tower	TOKYO TOWER
1F5FD	🗽	liberty	STATUE OF LIBERTY
1F5FE	🗾	Japan	SILHOUETTE OF JAPAN
1F5FF	🗿	statue	MOYAI
1F600	😀	grinning	GRINNING FACE
1F601	😁	grin	GRINNING FACE WITH SMILING EYES
1F602	😂	joy	FACE WITH TEARS OF JOY
1F603	😃	smiley	SMILING FACE WITH OPEN MOUTH
1F604	😄	smile	SMILING FACE WITH OPEN MOUTH AND SMILING EYES
1F605	😅	sweat_smile, sweat smile	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
1F606	😆	laughing, satisfied, laugh	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
1F607	😇	innocent	SMILING FACE WITH HALO
1F608	😈	smiling_imp, smiling imp	SMILING FACE WITH HORNS
1F609	😉	wink	WINKING FACE
1F60A	😊	blush	SMILING FACE WITH SMILING EYES
1F60B	😋	yum	FACE SAVOURING DELICIOUS FOOD
1F60C	😌	relieved	RELIEVED FACE
1F60D	😍	heart_eyes, heart eyes	SMILING FACE WITH HEART-SHAPED EYES
1F60E	😎	sunglasses, sunglasses2	SMILING FACE WITH SUNGLASSES
1F60F	😏	smirk	SMIRKING FACE
1F610	😐	neutral_face, neutral face	NEUTRAL FACE
1F611	😑	expressionless	EXPRESSIONLESS FACE
1F612	😒	unamused	UNAMUSED FACE
1F613	😓	sweat	FACE WITH COLD SWEAT
1F614	😔	pensive	PENSIVE FACE
1F615	😕	confused	CONFUSED FACE
1F616	😖	confounded	CONFOUNDED FACE
1F617	😗	kissing	KISSING FACE
1F618	😘	kissing_heart, kiss2	FACE THROWING A KISS
1F619	😙	kissing_smiling_eyes, kiss3	KISSING FACE WITH SMILING EYES
1F61A	😚	kissing_closed_eyes, kiss4	KISSING FACE WITH CLOSED EYES
1F61B	😛	stuck_out_tongue, tongue2	FACE WITH STUCK-OUT TONGUE
1F61C	😜	stuck_out_tongue_winking_eye, tongue3	FACE WITH STUCK-OUT TONGUE AND WINKING EYE
1F61D	😝	stuck_out_tongue_closed_eyes, tongue4	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
1F61E	😞	disappointed	DISAPPOINTED FACE
1F61F	😟	worried	WORRIED FACE
1F620	😠	angry	ANGRY FACE
1F621	😡	pout, rage	POUTING FACE
1F622	😢	cry	CRYING FACE
1F623	😣	persevere	PERSEVERING FACE
1F624	😤	triumph	FACE WITH LOOK OF TRIUMPH
1F625	😥	disappointed_relieved, disappointed relieved	DISAPPOINTED BUT RELIEVED FACE
1F626	😦	frowning	FROWNING FACE WITH OPEN MOUTH
1F627	😧	anguished	ANGUISHED FACE
1F628	😨	fearful	FEARFUL FACE
1F629	😩	weary	WEARY FACE
1F62A	😪	sleepy	SLEEPY FACE
1F62B	😫	tired_face, tired face	TIRED FACE
1F62C	😬	grimacing	GRIMACING FACE
1F62D	😭	sob	LOUDLY CRYING FACE
1F62E	😮	open_mouth, open mouth	FACE WITH OPEN MOUTH
1F62F	😯	hushed	HUSHED FACE
1F630	😰	cold_sweat, cold sweat	FACE WITH OPEN MOUTH AND COLD SWEAT
1F631	😱	scream	FACE SCREAMING IN FEAR
1F632	😲	astonished	ASTONISHED FACE
1F633	😳	flushed	FLUSHED FACE
1F634	😴	sleeping	SLEEPING FACE
1F635	😵	dizzy_face, dizzy face	DIZZY FACE
1F636	😶	no_mouth, no mouth	FACE WITHOUT MOUTH
1F637	😷	mask	FACE WITH MEDICAL MASK
1F638	😸	smile_cat, smile cat	GRINNING CAT FACE WITH SMILING EYES
1F639	😹	joy_cat, joy cat	CAT FACE WITH TEARS OF JOY
1F63A	😺	smiley_cat, smiley cat	SMILING CAT FACE WITH OPEN MOUTH
1F63B	😻	heart_eyes_cat, heart eyes cat	SMILING CAT FACE WITH HEART-SHAPED EYES
1F63C	😼	smirk_cat, smirk cat	CAT FACE WITH WRY SMILE
1F63D	😽	kissing_cat, kissing cat	KISSING CAT FACE WITH CLOSED EYES
1F63E	😾	pouting cat, pouting_cat	POUTING CAT FACE
1F63F	😿	crying_cat_face, crying cat	CRYING CAT FACE
1F640	🙀	scream_cat, scream cat	WEARY CAT FACE
1F641	🙁	slightly_frowning_face, frowning2	SLIGHTLY FROWNING FACE
1F642	🙂	slightly_smiling_face, smiling3	SLIGHTLY SMILING FACE
1F643	🙃	upside_down_face, upside-down	UPSIDE-DOWN FACE
1F644	🙄	roll_eyes, eye roll	FACE WITH ROLLING EYES
1F645	🙅	no_good, no good	FACE WITH NO GOOD GESTURE
1F646	🙆	ok_person, ok3	FACE WITH OK GESTURE
1F647	🙇	bow, prostration	PERSON BOWING DEEPLY
1F648	🙈	see_no_evil, see no evil	SEE-NO-EVIL MONKEY
1F649	🙉	hear_no_evil, hear no evil	HEAR-NO-EVIL MONKEY
1F64A	🙊	speak_no_evil, speak no evil	SPEAK-NO-EVIL MONKEY
1F64B	🙋	raising_hand, happiness	HAPPY PERSON RAISING ONE HAND
1F64C	🙌	raised_hands, celebration	PERSON RAISING BOTH HANDS IN CELEBRATION
1F64D	🙍	person frowning	PERSON FROWNING
1F64E	🙎	person pouting	PERSON WITH POUTING FACE
1F64F	🙏	pray	PERSON WITH FOLDED HANDS
1F680	🚀	rocket	ROCKET
1F681	🚁	helicopter	HELICOPTER
1F682	🚂	locomotive	STEAM LOCOMOTIVE
1F683	🚃	railway car, railway_car	RAILWAY CAR
1F684	🚄	train2	HIGH-SPEED TRAIN
1F685	🚅	train3	HIGH-SPEED TRAIN WITH BULLET NOSE
1F686	🚆	train	TRAIN
1F687	🚇	metro	METRO
1F688	🚈	light rail, light_rail	LIGHT RAIL
1F689	🚉	station	STATION
1F68A	🚊	tram	TRAM
1F68B	🚋	tram2	TRAM CAR
1F68C	🚌	bus	BUS
1F68D	🚍	bus2	ONCOMING BUS
1F68E	🚎	trolleybus	TROLLEYBUS
1F68F	🚏	busstop	BUS STOP
1F690	🚐	minibus	MINIBUS
1F691	🚑	ambulance	AMBULANCE
1F692	🚒	fire engine, fire_engine	FIRE ENGINE
1F693	🚓	police car, police_car	POLICE CAR
1F694	🚔	police car2	ONCOMING POLICE CAR
1F695	🚕	taxi	TAXI
1F696	🚖	taxi2	ONCOMING TAXI
1F697	🚗	red_car, car	AUTOMOBILE
1F698	🚘	oncoming_automobile, car2	ONCOMING AUTOMOBILE
1F699	🚙	car3	RECREATIONAL VEHICLE
1F69A	🚚	truck2	DELIVERY TRUCK
1F69B	🚛	lorry	ARTICULATED LORRY
1F69C	🚜	tractor	TRACTOR
1F69D	🚝	monorail	MONORAIL
1F69E	🚞	mountain railway, mountain_railway	MOUNTAIN RAILWAY
1F69F	🚟	suspension railway, suspension_railway	SUSPENSION RAILWAY
1F6A0	🚠	mountain cableway, mountain_cableway	MOUNTAIN CABLEWAY
1F6A1	🚡	aerial tramway, aerial_tramway	AERIAL TRAMWAY
1F6A2	🚢	ship	SHIP
1F6A3	🚣	rowboat	ROWBOAT
1F6A4	🚤	speedboat	SPEEDBOAT
1F6A5	🚥	traffic light, traffic_light	HORIZONTAL TRAFFIC LIGHT
1F6A6	🚦	traffic light2	VERTICAL TRAFFIC LIGHT
1F6A7	🚧	construction	CONSTRUCTION SIGN
1F6A8	🚨	rotating_light, rotating light	POLICE CARS REVOLVING LIGHT
1F6A9	🚩	triangular_flag_on_post, triangular flag	TRIANGULAR FLAG ON POST
1F6AA	🚪	door	DOOR
1F6AB	🚫	no_entry_sign, no entry sign	NO ENTRY SIGN
1F6AC	🚬	smoking	SMOKING SYMBOL
1F6AD	🚭	no smoking, no_smoking	NO SMOKING SYMBOL
1F6AE	🚮	put_litter_in_its_place, litter	PUT LITTER IN ITS PLACE SYMBOL
1F6AF	🚯	do not litter, do_not_litter	DO NOT LITTER SYMBOL
1F6B0	🚰	potable water, potable_water	POTABLE WATER SYMBOL
1F6B1	🚱	non-potable water, non-potable_water	NON-POTABLE WATER SYMBOL
1F6B2	🚲	bike	BICYCLE
1F6B3	🚳	no bicycles, no_bicycles	NO BICYCLES
1F6B4	🚴	bicyclist	BICYCLIST
1F6B5	🚵	bicyclist2	MOUNTAIN BICYCLIST
1F6B6	🚶	walking	PEDESTRIAN
1F6B7	🚷	no pedestrians, no_pedestrians	NO PEDESTRIANS
1F6B8	🚸	crosswalk	CHILDREN CROSSING
1F6B9	🚹	mens	MENS SYMBOL
1F6BA	🚺	womens	WOMENS SYMBOL
1F6BB	🚻	restroom	RESTROOM
1F6BC	🚼	baby2	BABY SYMBOL
1F6BD	🚽	toilet	TOILET
1F6BE	🚾	toilet2	WATER CLOSET
1F6BF	🚿	shower	SHOWER
1F6C0	🛀	bath	BATH
1F6C1	🛁	bathtub	BATHTUB
1F6C2	🛂	passport	PASSPORT CONTROL
1F6C3	🛃	customs	CUSTOMS
1F6C4	🛄	baggage	BAGGAGE CLAIM
1F6C5	🛅	left luggage, left_luggage	LEFT LUGGAGE
1F6CB	🛋	couch	COUCH AND LAMP
1F6CC	🛌	sleep	SLEEPING ACCOMMODATION
1F6CD	🛍	shop	SHOPPING BAGS
1F6CE	🛎	bell2	BELLHOP BELL
1F6CF	🛏	bed	BED
1F6D0	🛐	worship	PLACE OF WORSHIP
1F6D1	🛑	stop_sign, stop	OCTAGONAL SIGN
1F6D2	🛒	cart	SHOPPING TROLLEY
1F6E0	🛠	hammer and wrench, hammer_and_wrench	HAMMER AND WRENCH
1F6E1	🛡	shield	SHIELD
1F6E3	🛣	motorway	MOTORWAY
1F6E4	🛤	track	RAILWAY TRACK
1F6E5	🛥	motor boat, motor_boat	MOTOR BOAT
1F6E9	🛩	airplane2	SMALL AIRPLANE
1F6EB	🛫	departure	AIRPLANE DEPARTURE
1F6EC	🛬	arrival	AIRPLANE ARRIVING
1F6F0	🛰	satellite	SATELLITE
1F6F3	🛳	ship2	PASSENGER SHIP
1F6F4	🛴	scooter	SCOOTER
1F6F5	🛵	scooter2	MOTOR SCOOTER
1F6F6	🛶	canoe	CANOE
1F6F7	🛷	sled	SLED
1F6F8	🛸	ufo	FLYING SAUCER
1F910	🤐	zipper_mouth_face, zipper	ZIPPER-MOUTH FACE
1F911	🤑	money_mouth_face, money3	MONEY-MOUTH FACE
1F912	🤒	face_with_thermometer, thermometer2	FACE WITH THERMOMETER
1F913	🤓	nerd_face, nerd	NERD FACE
1F914	🤔	thinking	THINKING FACE
1F915	🤕	face_with_head_bandage, bandage	FACE WITH HEAD-BANDAGE
1F916	🤖	robot	ROBOT FACE
1F917	🤗	hugs, hugging	HUGGING FACE
1F918	🤘	metal, horns	SIGN OF THE HORNS
1F919	🤙	call_me_hand, call	CALL ME HAND
1F91A	🤚	raised_back_of_hand, hand4	RAISED BACK OF HAND
1F91B	🤛	fist_left, fist3	LEFT-FACING FIST
1F91C	🤜	fist_right, fist4	RIGHT-FACING FIST
1F91D	🤝	handshake	HANDSHAKE
1F91E	🤞	crossed_fingers, good luck	CROSSED FINGERS
1F91F	🤟	love_you_gesture, love2	I LOVE YOU HAND SIGN
1F920	🤠	cowboy_hat_face, cowboy	COWBOY HAT FACE
1F921	🤡	clown_face, clown	CLOWN FACE
1F922	🤢	nauseated_face, nausea	NAUSEATED FACE
1F923	🤣	rofl, lol	ROLLING ON THE FLOOR LAUGHING
1F924	🤤	drooling_face, drool	DROOLING FACE
1F925	🤥	liar	LYING FACE
1F926	🤦	facepalm	PERSON FACEPALMING
1F927	🤧	sneezing_face, sneeze	SNEEZING FACE
1F928	🤨	raised_eyebrow, eyebrow	FACE WITH ONE EYEBROW RAISED
1F929	🤩	star_struck, excited	GRINNING FACE WITH STAR EYES
1F92A	🤪	zany_face, zany	GRINNING FACE WITH ONE LARGE AND ONE SMALL EYE
1F92B	🤫	shushing_face, hush	FACE WITH FINGER COVERING CLOSED LIPS
1F92C	🤬	cursing_face, cursing	SERIOUS FACE WITH SYMBOLS COVERING MOUTH
1F92D	🤭	hand_over_mouth, smiling4	SMILING FACE WITH SMILING EYES AND HAND COVERING MOUTH
1F92E	🤮	vomiting_face, vomit	FACE WITH OPEN MOUTH VOMITING
1F92F	🤯	exploding_head, shocked	SHOCKED FACE WITH EXPLODING HEAD
1F930	🤰	pregnant_woman, pregnant	PREGNANT WOMAN
1F931	🤱	baby3	BREAST-FEEDING
1F932	🤲	palms_up_together, palm2	PALMS UP TOGETHER
1F933	🤳	selfie	SELFIE
1F934	🤴	prince	PRINCE
1F935	🤵	groom	MAN IN TUXEDO
1F936	🤶	mrs. claus	MRS. CLAUS
1F937	🤷	shrug, shrugging	PERSON SHRUGGING
1F938	🤸	cartwheeling, gymnast	PERSON CARTWHEELING
1F939	🤹	juggling	PERSON JUGGLING
1F93A	🤺	fencer	PERSON FENCING
1F93C	🤼	wrestling	PEOPLE WRESTLING
1F93D	🤽	water polo, water_polo	PERSON PLAYING WATER POLO
1F93E	🤾	handball	PERSON PLAYING HANDBALL
1F940	🥀	wilted_flower, flower2	WILTED FLOWER
1F941	🥁	drum, drum2	DRUM WITH DRUMSTICKS
1F942	🥂	clinking_glasses, party3	CLINKING GLASSES
1F943	🥃	tumbler_glass, glass3	TUMBLER GLASS
1F944	🥄	spoon	SPOON
1F945	🥅	soccer2	GOAL NET
1F947	🥇	1st_place_medal, gold	1ST PLACE MEDAL
1F948	🥈	silver	2ND PLACE MEDAL
1F949	🥉	bronze	3RD PLACE MEDAL
1F94A	🥊	boxing_glove, boxing	BOXING GLOVE
1F94B	🥋	judo	MARTIAL ARTS UNIFORM
1F94C	🥌	curling	CURLING STONE
1F950	🥐	croissant	CROISSANT
1F951	🥑	avocado	AVOCADO
1F952	🥒	cucumber	CUCUMBER
1F953	🥓	bacon	BACON
1F954	🥔	potato	POTATO
1F955	🥕	carrot	CARROT
1F956	🥖	bread2	BAGUETTE BREAD
1F957	🥗	salad	GREEN SALAD
1F958	🥘	food	SHALLOW PAN OF FOOD
1F959	🥙	flatbread	STUFFED FLATBREAD
1F95A	🥚	egg	EGG
1F95B	🥛	milk	GLASS OF MILK
1F95C	🥜	peanuts	PEANUTS
1F95D	🥝	kiwi	KIWI FRUIT
1F95E	🥞	pancakes	PANCAKES
1F95F	🥟	dumpling	DUMPLING
1F960	🥠	cookie2	FORTUNE COOKIE
1F961	🥡	takeout	TAKEOUT BOX
1F962	🥢	chopsticks	CHOPSTICKS
1F963	🥣	bowl	BOWL WITH SPOON
1F964	🥤	drink	CUP WITH STRAW
1F965	🥥	coconut	COCONUT
1F966	🥦	broccoli	BROCCOLI
1F967	🥧	pie	PIE
1F968	🥨	pretzel	PRETZEL
1F969	🥩	cut_of_meat, steak	CUT OF MEAT
1F96A	🥪	sandwich	SANDWICH
1F96B	🥫	can	CANNED FOOD
1F980	🦀	crab	CRAB
1F981	🦁	lion	LION FACE
1F982	🦂	scorpion	SCORPION
1F983	🦃	turkey	TURKEY
1F984	🦄	unicorn	UNICORN FACE
1F985	🦅	eagle	EAGLE
1F986	🦆	duck	DUCK
1F987	🦇	bat	BAT
1F988	🦈	shark	SHARK
1F989	🦉	owl	OWL
1F98A	🦊	fox	FOX FACE
1F98B	🦋	butterfly	BUTTERFLY
1F98C	🦌	deer	DEER
1F98D	🦍	gorilla	GORILLA
1F98E	🦎	lizard	LIZARD
1F98F	🦏	rhinoceros	RHINOCEROS
1F990	🦐	shrimp	SHRIMP
1F991	🦑	squid	SQUID
1F992	🦒	giraffe	GIRAFFE
1F993	🦓	zebra	ZEBRA
1F994	🦔	hedgehog	HEDGEHOG
1F995	🦕	dinosaur	SAUROPOD
1F996	🦖	t-rex, dinosaur2	T-REX
1F997	🦗	cricket2	CRICKET
1F9C0	🧀	cheese	CHEESE WEDGE
1F9D0	🧐	monocle_face, monocle	FACE WITH MONOCLE
1F9D1	🧑	adult	ADULT
1F9D2	🧒	child	CHILD
1F9D3	🧓	old	OLDER ADULT
1F9D4	🧔	beard	BEARDED PERSON
1F9D5	🧕	headscarf	PERSON WITH HEADSCARF
1F9D6	🧖	sauna	PERSON IN STEAMY ROOM
1F9D7	🧗	climber	PERSON CLIMBING
1F9D8	🧘	lotus_position, yoga	PERSON IN LOTUS POSITION
1F9D9	🧙	mage	MAGE
1F9DA	🧚	fairy	FAIRY
1F9DB	🧛	vampire	VAMPIRE
1F9DC	🧜	merperson	MERPERSON
1F9DD	🧝	elf	ELF
1F9DE	🧞	genie	GENIE
1F9DF	🧟	zombie	ZOMBIE
1F9E0	🧠	brain	BRAIN
1F9E1	🧡	orange_heart, orange heart	ORANGE HEART
1F9E2	🧢	billed_cap, cap	BILLED CAP
1F9E3	🧣	scarf	SCARF
1F9E4	🧤	gloves	GLOVES
1F9E5	🧥	coat	COAT
1F9E6	🧦	socks	SOCKS
